X,ST,ST_conf
A1,0.000400629856785,5.88073468175669E-05
A2,3.17979822866376E-05,3.73354886471519E-05
A3,0.006147712043298,0.000241127403905
AL1,0.219829597181086,0.007998912075666
AL2,0.000280124506683,0.000191459779995
AL3,0.739224985125905,0.016557271434042
C1,0.000163025723718,9.7412454246086E-05
C2,3.42441645394162E-05,3.8429176842143E-05
C3,0.000166882732445,3.70298728343248E-05
CO1,0.000392614312732,4.15333551225219E-05
CO2,9.51362042847635E-05,0.000136103411182
CO3,0.000657286454619,4.9233182532231E-05
CU1,4.1593554177479E-05,3.73242423100884E-05
CU2,2.36795384518524E-05,3.74445544677617E-05
CU3,4.0868913297996E-05,3.77908421817417E-05
D1,0.000226152762433,0.000325329822467
D2,2.42845041012766E-05,3.7374627467183E-05
D3,1.52351067810394E-05,3.07345977048746E-05
EP,0.000982237287916,4.43149677625544E-05
G1,0.000901738868746,0.000310914641522
G2,3.42057614919348E-05,3.75218118883985E-05
G3,0.002024281160731,7.37467520727345E-05
GR,0.054509070048701,0.001393974592963
OG1,5.64193983890516E-05,3.77453123848947E-05
OG2,7.00861794935499E-05,9.53460951120638E-05
OG3,5.64581196360937E-05,3.79877974970502E-05
OD1,0.000124847267297,3.76479432664016E-05
OD2,8.30342603145329E-05,9.80482972713054E-05
OD3,0.00012451936237,3.80861864045779E-05
OF1,1.16972927071783E-05,1.98322446877248E-06
OF2,0.000217347315075,0.000378488827498
OF3,0.000215115686981,3.60474399202512E-05
OT1,0.000898785708952,0.000102486806866
OT2,4.18892290347922E-05,3.08961274405306E-05
OT3,0.000841025711694,4.210316357954E-05
P1,0,0
P2,2.70161591709148E-05,3.81122471908813E-05
P3,8.23130008460327E-05,0.00011330251169
PT1,0.000102273551282,8.30092963178308E-05
PT2,2.38027430432491E-05,3.7475590753017E-05
PT3,6.81187790023696E-05,3.7270711422065E-05
S1,8.60348022483631E-05,9.53096147775736E-05
S2,9.22803931615549E-05,0.000135658392044
S3,4.06311573707968E-05,3.86770745044085E-05
SW,0.084210029579509,0.006015340121607
V1,0.042172808555232,0.000905701341209
V2,3.3942819903798E-05,3.07425247545218E-05
V3,0.042146078070762,0.001099015359455
